Title,Organization,Content Type,URL,Publication,Person,Date Published,Topics,Content Tags,Industry,Category Classification,Asset,Source File
David Woodbury - Sales Team,Sodexo,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7417210064299679744/,LinkedIn,David Woodbury - Sodexo,2026-01-14,,Leadership; Organizational Culture,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-14T20%3A43%3A19.730Z-Screenshot%202026-01-14%20at%203.43.14%E2%80%AFPM.png?alt=media&token=bda2075f-d1d1-4698-b1f8-9c52dd74fcf5),David Woodbury - Sales Team - Sodexo - LinkedIn post (my-content).md
David Woodbury - Saluting the Engage Organizers,Sodexo,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7383839368890707968/,LinkedIn,David Woodbury - Sodexo,2025-10-14,Sales Strategy & Planning - Sales - Business and Economics,Event Marketing,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-10-18T18%3A07%3A41.765Z-Screenshot%202025-10-18%20at%202.07.36%E2%80%AFPM.png?alt=media&token=c590b6e8-6824-4c3f-80a4-ccb090221965),David Woodbury - Saluting the Engage Organizers - Sodexo - LinkedIn post (my-content).md
David Woodbury - Serving B2B Customers,Sodexo,LinkedIn post,https://www.linkedin.com/posts/activity-7376243776610258944-yMGn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,David Woodbury - Sodexo,2025-09-17,,B2B Marketing; Customer Experience; Customer Service; Customer Satisfaction,Food Service,Total Emphasis,David Woodbury - B2B Sales,David Woodbury - Serving B2B Customers - Sodexo - LinkedIn post (my-content).md
David Woodbury - Spirit of Sodexo,Sodexo,LinkedIn post,https://www.linkedin.com/posts/activity-7373450827547590656-bKbG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,David Woodbury - Sodexo,2025-09-09,,Employee Experience; Servant Leadership,Food Service,Total Emphasis,David Woodbury - Spirit of Sodexo,David Woodbury - Spirit of Sodexo - Sodexo - LinkedIn post (my-content).md
Debunking the Five Most Prevalent Cloud Myths,UST,Blog,https://www.ust.com/en/insights/debunking-the-five-most-prevalent-cloud-myths,UST.com,,2021-08-25,Cloud and Data - Information Technology - Science & Technology,Cloud Myths,All Tech,Total Emphasis,screencapture-ust-en-insights-debunking-the-five-most-prevalent-cloud-myths-2026-01-13-13_59_02,Debunking the Five Most Prevalent Cloud Myths - UST - Blog(my-content).md
Decoding the Jargon: Separating CTV from DOOH for Better Campaigns,Lemma,Byline,https://advertisingweek.com/decoding-the-jargon-separating-ctv-from-dooh-for-better-campaigns/,AdvertisingWeek,,2024-09-17,,,Advertising,Total Emphasis,screencapture-advertisingweek-decoding-the-jargon-separating-ctv-from-dooh-for-better-campaigns-2024-11-26-16_32_34,Decoding the Jargon- Separating CTV from DOOH for Better Campaigns - Lemma - Byline(my-content).md
DeepSeek's breakthrough is a win for innovation and accessibility,,Blog,https://www.ibm.com/think/insights/deepseek-breakthrough-is-a-win-for-innovation-and-accessibility,IBM.com,,2025-03-04,,DeepSeek,All Tech,Total Emphasis,screencapture-ibm-think-insights-deepseek-breakthrough-is-a-win-for-innovation-and-accessibility-2025-03-04-10_55_06,DeepSeek's breakthrough is a win for innovation and accessibility - IBM - Blog(my-content).md
"Dell Technologies, Realeyes Discuss Attention and Emotion Ai",Realeyes,Blog,https://blog.realeyesit.com/dell-technologies-discuss-attention-and-emotion-ai,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-08-12,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-dell-technologies-discuss-attention-and-emotion-ai-2026-01-16-18_31_49,"Dell Technologies, Realeyes Discuss Attention and Emotion Ai - Realeyes - Blog(my-content).md"
DevSecOps: the Unification of Development and Security,UST,Blog,https://www.ust.com/en/insights/devsecops-the-unification-of-development-and-security,UST.com,,2022-04-18,Cybersecurity - Information Technology - Science & Technology,Security and Infrastructure,Cybersecurity Firm,Total Emphasis,screencapture-ust-en-insights-devsecops-the-unification-of-development-and-security-2026-01-16-18_27_26,DevSecOps- the Unification of Development and Security - UST - Blog(my-content).md
Digging Deeper Into Advertising’s Lost Half,UpWave,Byline,https://advertisingweek.com/digging-deeper-into-advertisings-lost-half/,AdvertisingWeek,Chris Kelly - UpWave,2023-10-16,,,,Total Emphasis,screencapture-advertisingweek-digging-deeper-into-advertisings-lost-half-2026-01-13-15_43_05,Digging Deeper Into Advertising’s Lost Half - UpWave - Byline(my-content).md
Digging Deeper Into Advertising’s Lost Half – Advertising Week,UpWave,Byline,https://advertisingweek.com/digging-deeper-into-advertisings-lost-half/,AdvertisingWeek,Chris Kelly - UpWave,,,,,Total Emphasis,Digging Deeper Into Advertising’s Lost Half – Advertising Week,Digging Deeper Into Advertising’s Lost Half – Advertising Week - UpWave - Byline(my-content).md
Digital Advertising Headwinds to Fuel the Takeoff of Connected TV,TVDataNow,Byline,https://www.thedrum.com/opinion/2021/09/24/digital-advertising-headwinds-fuel-the-takeoff-connected-tv,The Drum,John Hamilton - OnlineSales.ai,2021-09-24,,Broadcasting,Adtech,Total Emphasis,screencapture-thedrum-opinion-digital-advertising-headwinds-fuel-the-takeoff-connected-tv-2026-01-14-18_14_36,Digital Advertising Headwinds to Fuel the Takeoff of Connected TV - TVDataNow - Byline(my-content).md
Discussing colleague Jess Huang,McKinsey,LinkedIn post,https://www.linkedin.com/posts/steveareis_my-colleague-jess-huang-discussed-with-protocol-activity-6908034323283619841-XhoS/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Steve Reis - McKinsey,,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,,Management Consultant,Total Emphasis,Steve Reis - Jess Huang,Discussing colleague Jess Huang - McKinsey - LinkedIn post (my-content).md
Disengaged Workers? It’s Time to Fix Your Company Culture,GoodTime.io,Byline,https://hrexecutive.com/disengaged-workers-its-time-to-fix-your-company-culture/,HR Executive,Ahryun Moon - GoodTime.io,2022-10-19,,Company Building; Organizational Culture; Employee Experience,HR/Recruiting Firm,Total Emphasis,screencapture-hrexecutive-disengaged-workers-its-time-to-fix-your-company-culture-2026-01-14-21_01_52,Disengaged Workers- It’s Time to Fix Your Company Culture - GoodTime.io - Byline(my-content).md
"Diversity, Equity, and Inclusion in Hiring: the Ultimate Guide",GoodTime.io,Blog,https://goodtime.io/blog/dei/diversity-vs-inclusion-in-hiring-whats-the-difference/,Goodtime.io,Rachel Heller - Axonius,2023-06-29,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,Recruitment and Layoffs; DEI and ESG,HR/Recruiting Firm,Total Emphasis,screencapture-goodtime-io-blog-dei-diversity-vs-inclusion-in-hiring-whats-the-difference-2026-01-14-19_15_29,"Diversity, Equity, and Inclusion in Hiring- the Ultimate Guide - GoodTime.io - Blog(my-content).md"
Do Generative AI Tools Like Chatgpt Live Up to Their Hype?,UST,Blog,https://www.ust.com/en/insights/do-generative-ai-tools-like-chatgpt-live-up-to-their-hype,UST.com,Adnan Masood - UST,2023-03-17,,Generative AI; ChatGPT; Product Engineering - Information Technology - Science & Technology,Artificial Intelligence,Total Emphasis,screencapture-ust-en-insights-do-generative-ai-tools-like-chatgpt-live-up-to-their-hype-2026-01-14-20_52_19,Do Generative AI Tools Like Chatgpt Live Up to Their Hype- - UST - Blog(my-content).md
Don't Blame Us - The Taylor Swift Affect Isn't Real Yet,UpWave,Byline,https://advertisingweek.com/dont-blame-us-the-taylor-swift-effect-isnt-yet-real/,AdvertisingWeek,Chris Kelly - UpWave,2024-06-19,,Live Sports; Advertising Measurement; **Topic(s)**:; Digital Marketing - Marketing - Business and Economics; CTV - Marketing - Business and Economics,Advertising,Total Emphasis,screencapture-advertisingweek-dont-blame-us-the-taylor-swift-effect-isnt-yet-real-2026-01-14-17_22_36,Don't Blame Us - The Taylor Swift Affect Isn't Real Yet - UpWave - Byline(my-content).md
Don’t Fear the New: Taking Calculated Risks in Advertising,NOVUS,Sponsored Content,https://www.fastcompany.com/91035285/dont-fear-the-new-taking-calculated-risks-in-advertising,Fast Company,Rob Davis - NOVUS,2024-02-28,Digital Marketing - Marketing - Business and Economics,Change Management,Advertising,Total Emphasis,screencapture-fastcompany-91035285-dont-fear-the-new-taking-calculated-risks-in-advertising-2026-01-14-18_16_28,Don’t Fear the New- Taking Calculated Risks in Advertising - NOVUS - Sponsored Content(my-content).md
DraftKings’ creative success with Moloco’s ML-powered dynamic ad creative placement,Moloco,Case Study,https://www.moloco.com/case-studies/draftkings-creative-success,Moloco,Nikhil Raj - Moloco,,,Machine Learning,Advertising,Total Emphasis,screencapture-moloco-case-studies-draftkings-creative-success-2025-06-04-07_41_50,DraftKings’ creative success with Moloco’s ML-powered dynamic ad creative placement - Moloco -…(my-content).md
E&S Insurance Insider,SageSure,LinkedIn post,https://www.linkedin.com/posts/terrencemclean_i-recently-spoke-with-adam-kovac-for-insurance-activity-7392580026455449600-b8JK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Terry McLean - SageSure,2025-11-12,"Insurance - Finance, Accounting and Legal - Business and Economics",Natural Disaster Insurance; Home Insurance,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-11-22T13%3A51%3A27.128Z-Screenshot%202025-11-22%20at%208.51.21%E2%80%AFAM.png?alt=media&token=7309417a-19a8-4791-bc11-26c03a0855f9),E&S Insurance Insider - SageSure - LinkedIn post (my-content).md
Earned Wage Access: Why HR Leaders Shouldn’t Fear This Breakthrough Benefit,The Clearing House,Byline,https://talentculture.com/blog/earned-wage-access-why-hr-leaders-shouldnt-fear-this-breakthrough-benefit/,Talent Culture,,2023-10-31,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,Employee Experience,Financial Services,Total Emphasis,screencapture-talentculture-blog-earned-wage-access-why-hr-leaders-shouldnt-fear-this-breakthrough-benefit-2026-01-14-19_48_22,Earned Wage Access- Why HR Leaders Shouldn’t Fear This Breakthrough Benefit - The Clearing House…(my-content).md
Eliminate Out-of-stock Incidents With a Machine Learning-based Solution,UST,Blog,https://www.ust.com/en/insights/eliminate-out-of-stock-incidents-with-a-machine-learning-based-solution,UST.com,Mahesh Athalye,2020-10-28,,Retail,,Total Emphasis,screencapture-ust-en-insights-eliminate-out-of-stock-incidents-with-a-machine-learning-based-solution-2026-01-15-18_02_28,Eliminate Out-of-stock Incidents With a Machine Learning-based Solution - UST - Blog(my-content).md
Embracing Calm Amidst Chaos,Northern Trust,Blog,https://medium.com/face-value/embracing-calm-amidst-chaos-acc494057e1c,Medium,Peter Cherecwich - Northern Trust,2025-07-07,Leadership & Decision Making - Business Strategy and Management - Business and Economics,Running a Business; Leadership & Decision Making - Business Strategy and Management - Business and Economics; Leading By Example; Leadership & Decision Making - Business Strategy and Management - Business and Economics,Financial Services,Total Emphasis,screencapture-medium-face-value-embracing-calm-amidst-chaos-acc494057e1c-2025-07-10-23_11_26,Embracing Calm Amidst Chaos - Northern Trust - Blog(my-content).md
Emotion AI Reveals Which U.S. Democratic Candidate is Resonating Best With Voters,Realeyes,Report,https://blog.realeyesit.com/emotion-ai-reveals-which-u.s.-democratic-candidate-is-resonating-best-with-voters,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-09-12,,Attention Measurement; Customer Experience,Adtech,Total Emphasis,screencapture-blog-realeyesit-emotion-ai-reveals-which-u-s-democratic-candidate-is-resonating-best-with-voters-2026-01-14-18_04_35,Emotion AI Reveals Which U.S. Democratic Candidate is Resonating Best With Voters - Realeyes -…(my-content).md
Empowering Retailers: the Rise of in-house Retail Media,Moloco,Blog,https://www.moloco.com/blog/in-house-retail-media-rise,Moloco,Nikhil Raj - Moloco,2023-09-13,Digital Marketing - Marketing - Business and Economics,Retail Media; Retail,,Total Emphasis,screencapture-moloco-blog-in-house-retail-media-rise-2026-01-14-16_30_42,Empowering Retailers- the Rise of in-house Retail Media - Moloco - Blog(my-content).md
Ensuring Your Product Strategy is Fit-for-growth,UST,Blog,https://www.ust.com/en/insights/ensuring-your-product-strategy-is-fit-for-growth,UST.com,Miguel Garcia,2022-03-15,,,Software Development,Total Emphasis,screencapture-ust-en-insights-ensuring-your-product-strategy-is-fit-for-growth-2026-01-14-16_23_07,Ensuring Your Product Strategy is Fit-for-growth - UST - Blog(my-content).md
Exploring Attention’s Renaissance,Realeyes,Interview,https://blog.realeyesit.com/exploring-attentions-renaissance,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-11-16,Digital Marketing - Marketing - Business and Economics,Attention Measurement; Creative Intelligence; Digital Marketing - Marketing - Business and Economics,Adtech,Total Emphasis,screencapture-blog-realeyesit-exploring-attentions-renaissance-2026-01-13-16_40_14,Exploring Attention’s Renaissance - Realeyes - Interview(my-content).md
Exploring the Hyper-competitive Future of Customer Experience,IBM,Blog,https://www.ibm.com/blog/customer-experience-future/,IBM.com,Keith O'Brien - Total Emphasis  ,2024-01-19,,Customer Service,Management Consultant,Total Emphasis,screencapture-ibm-think-insights-customer-experience-future-2026-01-14-18_41_29,Exploring the Hyper-competitive Future of Customer Experience - IBM - Blog(my-content).md
FOMO TV: The Return of Appointment TV—With a Streaming Twist,UpWave,Byline,https://advertisingweek.com/fomo-tv-the-return-of-appointment-tv-with-a-streaming-twist/,AdvertisingWeek,Jess Armstrong - UpWave,2025-03-31,,Streaming Media; Video Advertising,Adtech,Total Emphasis,screencapture-advertisingweek-fomo-tv-the-return-of-appointment-tv-with-a-streaming-twist-2025-03-31-13_02_10,FOMO TV- The Return of Appointment TV—With a Streaming Twist - UpWave - Byline(my-content).md
Family Donut Shop post,Sodexo,LinkedIn post,https://www.linkedin.com/posts/michael-svagdis-13909099_the-best-leadership-lessons-can-come-from-activity-7331296450070335489-2qHA?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Michael Svagdis - ,2025-07-10,Leadership & Decision Making - Business Strategy and Management - Business and Economics,Accountability; Small Business; Leadership & Decision Making - Business Strategy and Management - Business and Economics; Starting a Business; Leadership & Decision Making - Business Strategy and Management - Business and Economics; Running a Business,Food Service,Total Emphasis,Svagdis - Donut Shop,Family Donut Shop post - Sodexo - LinkedIn post (my-content).md
Finding Solutions to Investment Challenges: A Focus on APAC Asset Owners,Northern Trust,Blog,https://www.northerntrust.com/asia-pac/insights-research/2025/asset-servicing/finding-solutions-to-investment-challenges-a-focus-on-apac-asset-owners?utm_medium=social-organic&utm_source=linkedin&utm_campaign=as-global-awareness-asuite&utm_content=asset_owners_in_focus_peer_study,NorthernTrust.com,,2025-05-29,"Investing - Finance, Accounting and Legal - Business and Economics",Asset Management; Wealth Management,Financial Services,Total Emphasis,screencapture-northerntrust-asia-pac-insights-research-2025-asset-servicing-finding-solutions-to-investment-challenges-a-focus-on-apac-asset-owners-2025-06-05-13_41_52,Finding Solutions to Investment Challenges- A Focus on APAC Asset Owners - Northern Trust - Blog(my-content).md
Finding the Right Balance: Priorities for EMEA Asset Owners,Northern Trust,Blog,https://www.northerntrust.com/united-states/insights-research/2025/asset-servicing/finding-the-right-balance-priorities-for-emea-asset-owners?utm_medium=social-organic&utm_source=linkedin&utm_campaign=as-global-awareness-asuite&utm_content=asset_owners_in_focus_peer_study_emea_article,NorthernTrust.com,,2025-06-09,,Asset Management; Wealth Management,,Total Emphasis,EMEA - Northern Trust,Finding the Right Balance- Priorities for EMEA Asset Owners - Northern Trust - Blog(my-content).md
First-mover Advantage,McKinsey,LinkedIn post,https://www.linkedin.com/posts/steveareis_ceo-leadership-businessgrowth-activity-7315732098571538433-dn_U/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Steve Reis - McKinsey,,New Business Building - Entrepreneurship - Business and Economics,Product-led Growth,Management Consultant,Total Emphasis,Steve Reis - First-mover advantage,First-mover Advantage - McKinsey - LinkedIn post (my-content).md
Five Benefits of Embracing Manufacturing 4.0,UST,Blog,https://www.ust.com/en/insights/five-benefits-of-embracing-manufacturing,UST.com,Ramya Kannan - UST,2020-11-24,Manufacturing - Business Strategy and Management - Business and Economics,Maintenance Strategy,IT Support and Management,Total Emphasis,screencapture-ust-en-insights-five-benefits-of-embracing-manufacturing-2026-01-13-14_17_12,Five Benefits of Embracing Manufacturing 4.0 - UST - Blog(my-content).md
Five Costly Cloud Infrastructure Mistakes to Avoid,UST,Blog,https://www.ust.com/en/insights/five-costly-cloud-infrastructure-mistakes-to-avoid,UST.com,Fernando Pereiro,2021-09-21,Cloud and Data - Information Technology - Science & Technology,Cost Savings; Cloud Myths,All Tech,Total Emphasis,screencapture-ust-en-insights-five-costly-cloud-infrastructure-mistakes-to-avoid-2026-01-14-18_40_31,Five Costly Cloud Infrastructure Mistakes to Avoid - UST - Blog(my-content).md
Five Reasons Why AGL is the Obvious Choice for the Automotive Industry,UST,Blog,https://www.ust.com/en/insights/five-reasons-why-agl-is-the-obvious-choice-for-the-automotive-industry,UST.com,Nivashini Muthukrishnan,2020-12-07,Product Engineering - Information Technology - Science & Technology,AGL; Automotive,Automotive,Total Emphasis,screencapture-ust-en-insights-five-reasons-why-agl-is-the-obvious-choice-for-the-automotive-industry-2026-01-15-17_54_48,Five Reasons Why AGL is the Obvious Choice for the Automotive Industry - UST - Blog(my-content).md
Five Thoughts on B2B Marketing Organizational Flexibility and Impact,2x,Byline,https://www.b2bnn.com/2023/06/five-thoughts-on-b2b-marketing-organizational-flexibility-and-impact/,B2BNN,Domenic Colasante - 2x,2023-06-16,Digital Marketing - Marketing - Business and Economics,B2B Marketing; Organizational Culture,Marketing,Total Emphasis,screencapture-b2bnn-2023-06-five-thoughts-on-b2b-marketing-organizational-flexibility-and-impact-2025-05-17-21_11_30,Five Thoughts on B2B Marketing Organizational Flexibility and Impact - 2x - Byline(my-content).md
Five Thoughts on Being (or Becoming) a Visionary, N/A,Newsletter,https://survivalsignal.beehiiv.com/p/beingavisionary,Survival Signal,Keith O'Brien - Total Emphasis  ,2023-04-07,,Values; **Topic(s)**:; Leadership & Decision Making - Business Strategy and Management - Business and Economics; Content Marketing - Marketing - Business and Economics,Content Strategy,Total Emphasis,screencapture-survivalsignal-beehiiv-p-beingavisionary-2026-01-14-18_37_31,Five Thoughts on Being (or Becoming) a Visionary - N-A - Newsletter(my-content).md
Five Ways Smart Cities Harness the Ingenuity of Their Communities,UST,Blog,https://www.ust.com/en/insights/five-ways-smart-cities-harness-the-ingenuity-of-their-communities,UST.com,Kuruvilla ‘Mat’ Mathew - UST,2020-11-20,Logistics - Business Strategy and Management - Business and Economics,Smart Cities; Public Policy; Public Transportation,All Tech,Total Emphasis,screencapture-ust-en-insights-five-ways-smart-cities-harness-the-ingenuity-of-their-communities-2026-01-14-15_48_49,Five Ways Smart Cities Harness the Ingenuity of Their Communities - UST - Blog(my-content).md
Five Ways an Anticipatory Government Produces Positive Outcomes,UST,Blog,https://www.ust.com/en/insights/five-ways-an-anticipatory-government-produces-positive-outcomes,UST.com,Kuruvilla ‘Mat’ Mathew - UST,2020-12-02,,Anticipatory Government; Data and Analytics,All Tech,Total Emphasis,screencapture-ust-en-insights-five-ways-an-anticipatory-government-produces-positive-outcomes-2026-01-14-17_58_43,Five Ways an Anticipatory Government Produces Positive Outcomes - UST - Blog(my-content).md
Five Ways to Add Agility to Your IT Infrastructure,UST,Blog,https://www.ust.com/en/insights/five-ways-to-add-agility-to-your-it-infrastructure,UST.com,Aditya Vadaganadam - UST,2020-12-22,,Cloud Infrastructure,IT Support and Management,Total Emphasis,screencapture-ust-en-insights-five-ways-to-add-agility-to-your-it-infrastructure-2026-01-14-20_51_38,Five Ways to Add Agility to Your IT Infrastructure - UST - Blog(my-content).md
Flowers Foods’ Early Iterative Testing Increased Creative Performance by 25%,Realeyes,Case Study,https://www.realeyesit.com/case_studies/flowers-foods/,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-03-07,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-realeyesit-case-studies-flowers-foods-2026-01-14-21_02_28,Flowers Foods’ Early Iterative Testing Increased Creative Performance by 25- - Realeyes - Case Study(my-content).md
Focusing on Customer Experience is Key to Managing Higher Insurance Costs,Mylo,Byline,https://www.propertycasualty360.com/2024/08/09/focusing-on-customer-experience-is-key-to-managing-higher-insurance-costs/?slreturn=2024082990833,Property Casualty 360,Belen Tokarski - Mylo,2024-08-09,,Life Insurance,Insurance,Total Emphasis,screencapture-propertycasualty360-2024-08-09-focusing-on-customer-experience-is-key-to-managing-higher-insurance-costs-2026-01-14-19_56_54,Focusing on Customer Experience is Key to Managing Higher Insurance Costs - Mylo - Byline(my-content).md
Forge Trust: Your Preferred Partner for Alternative Investing and Asset Security,Forge Global,Blog,https://forgetrust.com/resources/articles/preferred-partner-for-alternative-investing-and-asset-security/,ForgeTrust.com,Liz Alexander - Forge Global,2025-02-07,,Wealth Management; Alternative Investments,Financial Services,Total Emphasis,Forgetrust-resources-articles-preferred-partner-for-alternative-investing-and-asset-security-2025-02-13-10_29_04,Forge Trust- Your Preferred Partner for Alternative Investing and Asset Security - Forge Global -…(my-content).md
Four Critical Advertising Goals for This Upfront Season,TVDataNow,Byline,,AdWeek,John Hamilton - OnlineSales.ai,2022-04-12,,Upfronts; **Topic(s)**:; Digital Marketing - Marketing - Business and Economics; CTV - Marketing - Business and Economics; Display Advertising; Video Advertising,Adtech,Total Emphasis,screencapture-archive-ph-MlmKS-2026-01-14-17_18_56,Four Critical Advertising Goals for This Upfront Season - TVDataNow - Byline(my-content).md
Four Reasons to Move to the Private Cloud,UST,Blog,https://www.ust.com/en/insights/four-reasons-to-move-to-the-private-cloud,UST.com,James Baker,2021-09-14,Cloud and Data - Information Technology - Science & Technology,Cloud Migration; Cloud and Data - Information Technology - Science & Technology,All Tech,Total Emphasis,screencapture-ust-en-insights-four-reasons-to-move-to-the-private-cloud-2026-01-16-18_52_14,Four Reasons to Move to the Private Cloud - UST - Blog(my-content).md
Four Things to Simplify Your Marketing Strategy in a Complex Market,Factoreal,Byline,https://customerland.net/four-things-to-simplify-your-marketing-strategy-in-a-complex-market/,CustomerLand,Corey Ganzman - Sportsdigita,2023-08-23,,B2B Marketing; Marketing Automation,Marketing,Total Emphasis,screencapture-customerland-net-four-things-to-simplify-your-marketing-strategy-in-a-complex-market-2026-01-14-18_02_41,Four Things to Simplify Your Marketing Strategy in a Complex Market - Factoreal - Byline(my-content).md
Four Ways Machine Learning Will Change Mobile Advertising in 2024,Mobvista/Mintegral,Byline,https://www.performancemarketingworld.com/article/1857441/four-ways-machine-learning-will-change-mobile-advertising-2024,Performance Marketing World,Greg Castro - Mobvista/Mintegral,2024-01-15,,Machine Learning; Programmatic,Marketing,Total Emphasis,screencapture-performancemarketingworld-article-1857441-four-ways-machine-learning-will-change-mobile-advertising-2024-2026-01-13-15_49_13,Four Ways Machine Learning Will Change Mobile Advertising in 2024 - Mobvista-Mintegral - Byline(my-content).md
Four Ways UST Cloud Manager Harnesses the Cloud,UST,Blog,https://www.ust.com/en/insights/four-ways-ust-cloud-manager-harnesses-the-cloud,UST.com,Uma Daniel Koshy,2021-09-01,Cloud and Data - Information Technology - Science & Technology,,IT Support and Management,Total Emphasis,screencapture-ust-en-insights-four-ways-ust-cloud-manager-harnesses-the-cloud-2026-01-14-18_05_39,Four Ways UST Cloud Manager Harnesses the Cloud - UST - Blog(my-content).md
Four Ways to Adapt Small Group Benefits for the Modern Workforce,Mylo,Byline,https://www.benefitspro.com/2024/07/26/4-ways-to-adapt-small-group-benefits-for-the-modern-workforce/?slreturn=20240814195900,Benefits Pro,,2024-07-26,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,Employee Experience,HR/Recruiting Firm,Total Emphasis,screencapture-benefitspro-2024-07-26-4-ways-to-adapt-small-group-benefits-for-the-modern-workforce-2025-05-17-19_05_43,Four Ways to Adapt Small Group Benefits for the Modern Workforce - Mylo - Byline(my-content).md
Four Ways to Automate Your Bookkeeping Process,Cratoflow,Blog,https://www.cratoflow.com/blog/four-ways-to-automate-your-bookkeeping-process,Cratoflow.com,Niranjana Menon,2022-07-25,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",Bookkeeping,Financial Services,Total Emphasis,screencapture-cratoflow-blog-four-ways-to-automate-your-bookkeeping-process-2026-01-13-16_39_38,Four Ways to Automate Your Bookkeeping Process - Cratoflow - Blog(my-content).md
Four Ways to Maximize Cloud Infrastructure Investments,UST,Blog,https://www.ust.com/en/insights/four-ways-to-maximize-cloud-infrastructure-investments,UST.com,Andrew Das  - UST,2020-11-12,,Cloud Infrastructure; Cloud and Data - Information Technology - Science & Technology,All Tech,Total Emphasis,screencapture-ust-en-insights-four-ways-to-maximize-cloud-infrastructure-investments-2026-01-13-14_27_10,Four Ways to Maximize Cloud Infrastructure Investments - UST - Blog(my-content).md
Frictionless Commerce is Here to Stay,UST,Blog,https://www.ust.com/en/insights/frictionless-commerce-is-here-to-stay,UST.com,Subhodip Bandyopadhyay - UST,2022-08-26,Sales Strategy & Planning - Sales - Business and Economics,Retail,All Tech,Total Emphasis,screencapture-ust-en-insights-frictionless-commerce-is-here-to-stay-2026-01-16-18_36_20,Frictionless Commerce is Here to Stay - UST - Blog(my-content).md
Frictionless Ecommerce,UST,White Paper,https://drive.google.com/file/d/1nMXGBBSU12be89rKebkCoi4yOvO4mTQp/view?usp=sharing,UST.com,,2022-01-01,,Retail,All Tech,Total Emphasis,Frictionless Commerce_Final Whitepaper_0422,Frictionless Ecommerce - UST - White Paper(my-content).md
Frictionless Shopping Experiences in the Age of Covid-19,UST,Blog,https://www.ust.com/en/insights/frictionless-shopping-experiences-in-the-age-of-covid-19,UST.com,Mahesh Athalye,2020-05-26,Sales Strategy & Planning - Sales - Business and Economics,Covid-19; Retail,All Tech,Total Emphasis,screencapture-ust-en-insights-frictionless-shopping-experiences-in-the-age-of-covid-19-2026-01-14-19_10_58,Frictionless Shopping Experiences in the Age of Covid-19 - UST - Blog(my-content).md
From Engagement to Conversion: the Role of Attention in Advertising,Realeyes,Interview,https://blog.realeyesit.com/from-engagement-to-conversion-the-role-of-attention-in-advertising,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-06-13,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-from-engagement-to-conversion-the-role-of-attention-in-advertising-2026-01-14-17_06_55,From Engagement to Conversion- the Role of Attention in Advertising - Realeyes - Interview(my-content).md
"Funding a Self-Directed IRA: Contributions, Transfers, and Rollovers Explained",Forge Global,Blog,https://forgetrust.com/resources/articles/funding-self-directed-ira-explained/,ForgeTrust.com,Zander Koallick - Forge Global,2025-01-08,,Wealth Management; Alternative Investments,Financial Services,Total Emphasis,screencapture-forgetrust-resources-articles-funding-self-directed-ira-explained-2025-01-09-18_02_35,"Funding a Self-Directed IRA- Contributions, Transfers, and Rollovers Explained - Forge Global - Blog(my-content).md"
